dowódca1,dowódca2,dowódca3,tył,kierowca1,kierowca2,kierowca3,kabina,dach
,,,,Pasy transportowe dwie sztuki,Rękawy sorbcyjne,,Rękawiczki nitrylowe,
,,,,"Kliny do stabilizacji, duże, cztery sztuki",Taśma szara powertape,,Latarki kątowe (6 szt.),
,,,,"Kliny do stabilizacji, średnie, cztery sztuki, prostokątne",Piła szablasta MILWAAKE + 2 aku.,,Okulary ochronne (3 szt.),
,,,,"Kliny do stabilizacji, prostokąty, cztery sztuki",Skrzynka narzędziowa STANLEY,,"Ubrania ochronne, biologiczne (4 szt.)",
,,,,"Kliny do stabilizacji trójkątne, duże, cztery sztuki",Krzesełka dwie sztuki,,Maseczki FFP2,
,,,,"Kliny do stabilizacji, małe, cztery sztuki, trójkątne",,,Taśma klejąca przezroczysta,
,,,,Deska ortopedyczna,,,Pas strażacki (2 szt.),
,,,,Szyny Kramera,,,AED,
,,,,Bosak NY Roof Hook,,,Opryskiwacz do dezynfekcji,
,,,,Duże podkłady drewniane pod poduszki (2 szt.),,,Aparat powietrzny SCOTT (5 szt.),
,,,,Małe podkłady drewniane pod poduszki (2 szt.),,,Dresy zapasowe (4 szt.),
,,,,Przewód pneumatyczny krótki z zaworem,,,Nosze podbierakowe,
,,,,Poduszka pneumatyczna duża,,,"Zasobnik 'dowódcy""",
,,,,Poduszka pneumatyczna mała,,,Nóż wędkarski,
,,,,Osprzęt do poduszek: przewody (2 szt.) + sterownik + reduktor,,,Nóż do pasów,
,,,,Zawiesia pasowe,,,Klucze do okien i???,
,,,,"Zawiesie, linowe",,,Klucze do skrzynek gazowych,
,,,,Duże szekle (3 szt.),,,Kamera termowizyjna taktyczna MSA,
,,,,Zblocza (2 szt.),,,Kamizelka DOWÓDCA ŁOMIANKI,
,,,,Adapter z hakami,,,Sterowniki do wyciągarki (kablowy i bezprzewodowy),
,,,,Wyważarka do drzwi,,,Klucze do ROP,
,,,,Młotek gumowy,,,Klucze do autobusów,
,,,,Torba z zestawem do otwierania drzwi,,,Klucz do bramy boiska KS Łomianki,
,,,,Mata sprzętowa,,,Bute powietrzne zapasowe (3 szt.),
,,,,Osłony na ostre krawędzie,,,Tablet,
,,,,Siatka na zwierzęta,,,,
